,matchday,date,home_team,final_result,away_team
3019,11,1984-11-02,VfB Stuttgart,4-2,Eintracht Frankfurt
3020,11,1984-11-03,1. FC Köln,4-1,FC Schalke 04
3021,11,1984-11-03,SV Waldhof Mannheim,2-1,Fortuna Düsseldorf
3022,11,1984-11-03,Arminia Bielefeld,1-1,Bayer 04 Leverkusen
3023,11,1984-11-03,Eintracht Braunschweig,3-1,Karlsruher SC
3024,11,1984-11-03,Borussia Dortmund,0-3,1. FC Kaiserslautern
3025,11,1984-11-03,Bayern München,1-1,Hamburger SV
3026,12,1984-11-09,VfL Bochum,1-0,KFC Uerdingen
3027,12,1984-11-09,1. FC Kaiserslautern,1-0,Eintracht Braunschweig
3028,12,1984-11-09,Fortuna Düsseldorf,0-0,Borussia Dortmund
3029,12,1984-11-10,FC Schalke 04,4-3,VfB Stuttgart
3030,12,1984-11-10,Hamburger SV,3-1,1. FC Köln
3031,12,1984-11-10,Eintracht Frankfurt,7-2,SV Waldhof Mannheim
3032,12,1984-11-10,Karlsruher SC,4-0,Arminia Bielefeld
3033,12,1984-11-10,Bayer 04 Leverkusen,0-0,Werder Bremen
3034,13,1984-11-13,1. FC Köln,1-5,Bor. Mönchengladbach
3035,13,1984-11-13,Bayern München,2-2,VfL Bochum
3036,13,1984-11-13,VfB Stuttgart,1-1,Hamburger SV
3037,13,1984-11-13,KFC Uerdingen,2-1,Bayer 04 Leverkusen
3038,13,1984-11-13,Borussia Dortmund,3-1,Eintracht Braunschweig
3039,13,1984-11-13,Arminia Bielefeld,1-1,1. FC Kaiserslautern
3040,13,1984-11-13,Fortuna Düsseldorf,3-1,Eintracht Frankfurt
3041,13,1984-11-14,Werder Bremen,7-1,Karlsruher SC
3042,14,1984-11-17,Karlsruher SC,0-4,KFC Uerdingen
3043,14,1984-11-17,FC Schalke 04,1-0,Fortuna Düsseldorf
3044,14,1984-11-17,Bor. Mönchengladbach,2-1,VfB Stuttgart
3045,14,1984-11-17,Hamburger SV,5-2,SV Waldhof Mannheim
3046,14,1984-11-17,Eintracht Frankfurt,2-1,Borussia Dortmund
3047,14,1984-11-17,Eintracht Braunschweig,0-0,Arminia Bielefeld
3048,14,1984-11-17,1. FC Kaiserslautern,2-2,Werder Bremen
3049,14,1984-11-17,VfL Bochum,1-3,1. FC Köln
3050,14,1984-11-17,Bayer 04 Leverkusen,3-0,Bayern München
3051,15,1984-11-24,FC Schalke 04,1-3,Eintracht Frankfurt
3052,15,1984-11-24,VfB Stuttgart,1-2,VfL Bochum
3053,15,1984-11-24,Bayern München,6-2,Karlsruher SC
3054,15,1984-11-24,SV Waldhof Mannheim,1-3,Bor. Mönchengladbach
3055,15,1984-11-24,Fortuna Düsseldorf,4-2,Hamburger SV
3056,15,1984-11-24,Werder Bremen,4-1,Eintracht Braunschweig
3057,15,1984-11-27,KFC Uerdingen,3-0,1. FC Kaiserslautern
3058,16,1984-11-30,VfL Bochum,0-1,SV Waldhof Mannheim
3059,16,1984-11-30,Bor. Mönchengladbach,0-2,Fortuna Düsseldorf
3060,16,1984-11-30,Bayer 04 Leverkusen,0-2,VfB Stuttgart
3061,16,1984-12-01,Borussia Dortmund,4-1,FC Schalke 04
3062,16,1984-12-01,1. FC Kaiserslautern,0-1,Bayern München
3063,16,1984-12-01,Arminia Bielefeld,3-4,Werder Bremen
3064,16,1984-12-01,Karlsruher SC,1-4,1. FC Köln
3065,16,1984-12-01,Hamburger SV,2-0,Eintracht Frankfurt
3066,16,1984-12-01,Eintracht Braunschweig,0-0,KFC Uerdingen
3067,15,1984-12-04,1. FC Köln,3-1,Bayer 04 Leverkusen
3068,17,1984-12-07,Werder Bremen,6-0,Borussia Dortmund
3069,17,1984-12-08,Bayern München,3-0,Eintracht Braunschweig
3070,17,1984-12-08,FC Schalke 04,3-0,Hamburger SV
3071,17,1984-12-08,1. FC Köln,2-0,1. FC Kaiserslautern
3072,17,1984-12-08,VfB Stuttgart,5-0,Karlsruher SC
3073,17,1984-12-08,SV Waldhof Mannheim,2-1,Bayer 04 Leverkusen
3074,17,1984-12-08,Eintracht Frankfurt,1-1,Bor. Mönchengladbach
3075,17,1984-12-08,Fortuna Düsseldorf,0-2,VfL Bochum
3076,17,1984-12-08,KFC Uerdingen,1-0,Arminia Bielefeld
3077,12,1984-12-11,Bor. Mönchengladbach,3-2,Bayern München
3078,8,1984-12-22,SV Waldhof Mannheim,1-2,1. FC Köln
3079,13,1985-01-26,SV Waldhof Mannheim,5-2,FC Schalke 04
3080,18,1985-02-01,1. FC Köln,1-0,Eintracht Braunschweig
3081,18,1985-02-02,Eintracht Frankfurt,1-1,VfL Bochum
3082,18,1985-02-02,SV Waldhof Mannheim,3-0,Karlsruher SC
3083,18,1985-02-02,KFC Uerdingen,3-1,Werder Bremen
3084,18,1985-02-02,Bayern München,3-3,Arminia Bielefeld
3085,18,1985-02-02,VfB Stuttgart,5-0,1. FC Kaiserslautern
3086,18,1985-02-02,FC Schalke 04,4-1,Bor. Mönchengladbach
3087,18,1985-02-02,Hamburger SV,4-2,Borussia Dortmund
3088,18,1985-02-02,Fortuna Düsseldorf,3-2,Bayer 04 Leverkusen
3089,19,1985-02-09,Werder Bremen,4-2,Bayern München
3090,19,1985-02-09,Karlsruher SC,2-2,Fortuna Düsseldorf
3091,19,1985-02-09,Eintracht Braunschweig,3-1,VfB Stuttgart
3092,15,1985-02-16,Arminia Bielefeld,3-0,Borussia Dortmund
3093,19,1985-02-16,VfL Bochum,0-1,FC Schalke 04
3094,20,1985-02-16,Eintracht Frankfurt,4-2,Karlsruher SC
3095,20,1985-02-26,Bayern München,2-1,KFC Uerdingen
3096,20,1985-02-27,VfB Stuttgart,2-0,Arminia Bielefeld
3097,21,1985-03-02,KFC Uerdingen,2-1,1. FC Köln
3098,21,1985-03-02,Arminia Bielefeld,0-1,SV Waldhof Mannheim
3099,21,1985-03-02,1. FC Kaiserslautern,2-1,Eintracht Frankfurt
3100,21,1985-03-02,Bayer 04 Leverkusen,2-0,Hamburger SV
3101,21,1985-03-02,Werder Bremen,3-1,VfB Stuttgart
3102,21,1985-03-02,Eintracht Braunschweig,1-0,Fortuna Düsseldorf
3103,21,1985-03-02,Borussia Dortmund,1-1,Bayern München
3104,21,1985-03-05,VfL Bochum,0-2,Bor. Mönchengladbach
3105,19,1985-03-05,Bayer 04 Leverkusen,3-1,Eintracht Frankfurt
3106,22,1985-03-08,FC Schalke 04,1-1,1. FC Kaiserslautern
3107,22,1985-03-08,VfB Stuttgart,5-2,KFC Uerdingen
3108,22,1985-03-09,SV Waldhof Mannheim,1-1,Werder Bremen
3109,22,1985-03-09,Eintracht Frankfurt,2-0,Eintracht Braunschweig
3110,22,1985-03-09,Bor. Mönchengladbach,1-1,Bayer 04 Leverkusen
3111,22,1985-03-09,1. FC Köln,0-2,Bayern München
3112,22,1985-03-09,VfL Bochum,4-1,Borussia Dortmund
3113,22,1985-03-09,Hamburger SV,0-0,Karlsruher SC
3114,22,1985-03-09,Fortuna Düsseldorf,1-1,Arminia Bielefeld
3115,20,1985-03-12,FC Schalke 04,4-2,Bayer 04 Leverkusen
3116,19,1985-03-12,1. FC Kaiserslautern,1-1,SV Waldhof Mannheim
3117,19,1985-03-13,Arminia Bielefeld,1-0,1. FC Köln
3118,23,1985-03-16,Borussia Dortmund,2-0,1. FC Köln
3119,23,1985-03-16,Werder Bremen,2-1,Fortuna Düsseldorf
3120,23,1985-03-16,Eintracht Braunschweig,4-2,FC Schalke 04
3121,23,1985-03-16,Karlsruher SC,0-1,Bor. Mönchengladbach
3122,23,1985-03-16,Bayer 04 Leverkusen,1-1,VfL Bochum
3123,23,1985-03-16,Arminia Bielefeld,2-2,Eintracht Frankfurt
3124,23,1985-03-16,KFC Uerdingen,2-2,SV Waldhof Mannheim
3125,23,1985-03-16,Bayern München,3-2,VfB Stuttgart
3126,19,1985-03-19,Bor. Mönchengladbach,0-1,Hamburger SV
3127,24,1985-03-22,VfL Bochum,5-2,Karlsruher SC
3128,24,1985-03-23,Bayer 04 Leverkusen,0-1,Borussia Dortmund
3129,24,1985-03-23,Fortuna Düsseldorf,2-2,KFC Uerdingen
3130,24,1985-03-23,SV Waldhof Mannheim,0-0,Bayern München
3131,24,1985-03-23,VfB Stuttgart,3-1,1. FC Köln
3132,24,1985-03-23,Bor. Mönchengladbach,7-0,1. FC Kaiserslautern
3133,24,1985-03-23,Hamburger SV,5-0,Eintracht Braunschweig
3134,24,1985-03-23,FC Schalke 04,3-0,Arminia Bielefeld
3135,24,1985-03-23,Eintracht Frankfurt,1-3,Werder Bremen
3136,25,1985-03-30,KFC Uerdingen,1-1,Eintracht Frankfurt
3137,25,1985-03-30,Arminia Bielefeld,4-1,Hamburger SV
3138,25,1985-03-30,Bayern München,6-0,Fortuna Düsseldorf
3139,25,1985-03-30,1. FC Köln,0-0,SV Waldhof Mannheim
3140,25,1985-03-30,Borussia Dortmund,4-1,VfB Stuttgart
3141,25,1985-03-30,Eintracht Braunschweig,0-4,Bor. Mönchengladbach
3142,25,1985-03-30,Karlsruher SC,0-0,Bayer 04 Leverkusen
3143,25,1985-03-30,Werder Bremen,2-1,FC Schalke 04
3144,26,1985-04-03,Bor. Mönchengladbach,2-0,Arminia Bielefeld
3145,26,1985-04-03,Bayer 04 Leverkusen,3-0,1. FC Kaiserslautern
3146,26,1985-04-03,Hamburger SV,2-0,Werder Bremen
3147,26,1985-04-03,Fortuna Düsseldorf,1-2,1. FC Köln
3148,26,1985-04-03,Eintracht Frankfurt,2-2,Bayern München
3149,26,1985-04-03,FC Schalke 04,2-0,KFC Uerdingen
3150,26,1985-04-03,Karlsruher SC,2-4,Borussia Dortmund
3151,26,1985-04-03,VfL Bochum,1-0,Eintracht Braunschweig
3152,26,1985-04-03,SV Waldhof Mannheim,1-1,VfB Stuttgart
3153,20,1985-04-09,Hamburger SV,3-1,VfL Bochum
3154,19,1985-04-09,Borussia Dortmund,4-0,KFC Uerdingen
3155,27,1985-04-12,VfB Stuttgart,5-2,Fortuna Düsseldorf
3156,27,1985-04-12,Werder Bremen,2-0,Bor. Mönchengladbach
3157,27,1985-04-12,1. FC Kaiserslautern,3-1,Karlsruher SC
3158,27,1985-04-13,Arminia Bielefeld,2-3,VfL Bochum
3159,27,1985-04-13,Bayern München,3-0,FC Schalke 04
3160,27,1985-04-13,Eintracht Braunschweig,0-2,Bayer 04 Leverkusen
3161,27,1985-04-13,1. FC Köln,2-0,Eintracht Frankfurt
3162,27,1985-04-15,Borussia Dortmund,0-0,SV Waldhof Mannheim
3163,28,1985-04-19,Fortuna Düsseldorf,1-1,SV Waldhof Mannheim
3164,28,1985-04-20,1. FC Kaiserslautern,5-0,Borussia Dortmund
3165,28,1985-04-20,Hamburger SV,2-1,Bayern München
3166,28,1985-04-20,Bor. Mönchengladbach,0-0,KFC Uerdingen
3167,28,1985-04-20,FC Schalke 04,2-3,1. FC Köln
3168,28,1985-04-20,Eintracht Frankfurt,2-0,VfB Stuttgart
3169,28,1985-04-20,Karlsruher SC,4-1,Eintracht Braunschweig
3170,28,1985-04-20,Bayer 04 Leverkusen,1-1,Arminia Bielefeld
3171,28,1985-04-20,VfL Bochum,1-3,Werder Bremen
3172,20,1985-04-25,1. FC Köln,3-2,Werder Bremen
3173,20,1985-04-25,SV Waldhof Mannheim,2-0,Eintracht Braunschweig
3174,20,1985-04-25,Fortuna Düsseldorf,1-0,1. FC Kaiserslautern
3175,20,1985-04-25,Bor. Mönchengladbach,1-1,Borussia Dortmund
3176,21,1985-04-25,Karlsruher SC,2-2,FC Schalke 04
3177,29,1985-05-03,KFC Uerdingen,3-1,VfL Bochum
3178,29,1985-05-03,Eintracht Braunschweig,2-1,1. FC Kaiserslautern
3179,29,1985-05-04,VfB Stuttgart,1-0,FC Schalke 04
3180,29,1985-05-04,Werder Bremen,2-2,Bayer 04 Leverkusen
3181,29,1985-05-04,Bayern München,4-0,Bor. Mönchengladbach
3182,29,1985-05-04,1. FC Köln,2-1,Hamburger SV
3183,29,1985-05-04,Arminia Bielefeld,4-1,Karlsruher SC
3184,29,1985-05-04,Borussia Dortmund,1-2,Fortuna Düsseldorf
3185,29,1985-05-04,SV Waldhof Mannheim,3-1,Eintracht Frankfurt
3186,23,1985-05-07,1. FC Kaiserslautern,1-1,Hamburger SV
3187,30,1985-05-10,FC Schalke 04,4-0,SV Waldhof Mannheim
3188,30,1985-05-10,Eintracht Frankfurt,2-2,Fortuna Düsseldorf
3189,30,1985-05-10,1. FC Kaiserslautern,1-1,Arminia Bielefeld
3190,30,1985-05-11,Hamburger SV,3-1,VfB Stuttgart
3191,30,1985-05-11,VfL Bochum,1-1,Bayern München
3192,30,1985-05-11,Karlsruher SC,1-1,Werder Bremen
3193,30,1985-05-11,Eintracht Braunschweig,2-4,Borussia Dortmund
3194,30,1985-05-11,Bor. Mönchengladbach,2-3,1. FC Köln
3195,30,1985-05-11,Bayer 04 Leverkusen,0-0,KFC Uerdingen
3196,27,1985-05-14,KFC Uerdingen,2-1,Hamburger SV
3197,31,1985-05-17,Fortuna Düsseldorf,1-2,FC Schalke 04
3198,31,1985-05-17,1. FC Köln,2-1,VfL Bochum
3199,31,1985-05-17,Werder Bremen,6-1,1. FC Kaiserslautern
3200,31,1985-05-18,VfB Stuttgart,2-3,Bor. Mönchengladbach
3201,31,1985-05-18,SV Waldhof Mannheim,3-1,Hamburger SV
3202,31,1985-05-18,Borussia Dortmund,2-1,Eintracht Frankfurt
3203,31,1985-05-18,Arminia Bielefeld,3-2,Eintracht Braunschweig
3204,31,1985-05-18,KFC Uerdingen,3-0,Karlsruher SC
3205,31,1985-05-18,Bayern München,2-1,Bayer 04 Leverkusen
3206,25,1985-05-21,1. FC Kaiserslautern,5-2,VfL Bochum
3207,32,1985-05-21,Karlsruher SC,0-4,Bayern München
3208,32,1985-05-24,Borussia Dortmund,1-3,Arminia Bielefeld
3209,32,1985-05-24,Eintracht Frankfurt,1-1,FC Schalke 04
3210,32,1985-05-25,Hamburger SV,1-2,Fortuna Düsseldorf
3211,32,1985-05-25,Eintracht Braunschweig,0-2,Werder Bremen
3212,32,1985-05-25,Bor. Mönchengladbach,3-0,SV Waldhof Mannheim
3213,32,1985-05-25,VfL Bochum,2-1,VfB Stuttgart
3214,32,1985-05-25,Bayer 04 Leverkusen,4-4,1. FC Köln
3215,32,1985-05-29,1. FC Kaiserslautern,6-1,KFC Uerdingen
3216,33,1985-06-01,Bayern München,3-0,1. FC Kaiserslautern
3217,33,1985-06-01,Eintracht Frankfurt,1-0,Hamburger SV
3218,33,1985-06-01,Werder Bremen,2-1,Arminia Bielefeld
3219,33,1985-06-01,KFC Uerdingen,1-2,Eintracht Braunschweig
3220,33,1985-06-01,FC Schalke 04,3-1,Borussia Dortmund
3221,33,1985-06-01,VfB Stuttgart,4-1,Bayer 04 Leverkusen
3222,33,1985-06-01,SV Waldhof Mannheim,2-0,VfL Bochum
3223,33,1985-06-01,Fortuna Düsseldorf,2-1,Bor. Mönchengladbach
3224,33,1985-06-01,1. FC Köln,3-4,Karlsruher SC
3225,34,1985-06-08,Borussia Dortmund,2-0,Werder Bremen
3226,34,1985-06-08,Bor. Mönchengladbach,3-3,Eintracht Frankfurt
3227,34,1985-06-08,VfL Bochum,1-0,Fortuna Düsseldorf
3228,34,1985-06-08,Bayer 04 Leverkusen,2-1,SV Waldhof Mannheim
3229,34,1985-06-08,Karlsruher SC,1-1,VfB Stuttgart
3230,34,1985-06-08,1. FC Kaiserslautern,6-0,1. FC Köln
3231,34,1985-06-08,Eintracht Braunschweig,0-1,Bayern München
3232,34,1985-06-08,Arminia Bielefeld,1-0,KFC Uerdingen
3233,34,1985-06-08,Hamburger SV,2-0,FC Schalke 04
3234,1,1981-08-08,Bayern München,6-2,Bayer 04 Leverkusen
3235,1,1981-08-08,Arminia Bielefeld,1-1,SV Darmstadt 98
3236,1,1981-08-08,Bor. Mönchengladbach,2-4,Werder Bremen
3237,1,1981-08-08,VfB Stuttgart,3-2,Fortuna Düsseldorf
3238,1,1981-08-08,MSV Duisburg,1-1,Karlsruher SC
3239,1,1981-08-08,Hamburger SV,4-2,Eintracht Braunschweig
3240,1,1981-08-08,Eintracht Frankfurt,2-2,1. FC Kaiserslautern
3241,1,1981-08-08,1. FC Köln,1-0,Borussia Dortmund
3242,1,1981-08-08,VfL Bochum,2-0,1. FC Nürnberg
3243,2,1981-08-14,1. FC Nürnberg,1-3,1. FC Köln
3244,2,1981-08-14,Werder Bremen,1-0,Arminia Bielefeld
3245,2,1981-08-14,Bayer 04 Leverkusen,0-3,VfL Bochum
3246,2,1981-08-15,Borussia Dortmund,0-2,Eintracht Frankfurt
3247,2,1981-08-15,1. FC Kaiserslautern,1-1,Hamburger SV
3248,2,1981-08-15,Karlsruher SC,0-2,VfB Stuttgart
3249,2,1981-08-15,Fortuna Düsseldorf,0-2,Bor. Mönchengladbach
3250,2,1981-08-15,SV Darmstadt 98,1-2,Bayern München
3251,2,1981-08-15,Eintracht Braunschweig,2-1,MSV Duisburg
3252,3,1981-08-21,Bor. Mönchengladbach,2-2,Karlsruher SC
3253,3,1981-08-21,MSV Duisburg,3-1,1. FC Kaiserslautern
3254,3,1981-08-21,Bayer 04 Leverkusen,3-2,SV Darmstadt 98
3255,3,1981-08-22,Arminia Bielefeld,1-1,Fortuna Düsseldorf
3256,3,1981-08-22,VfL Bochum,3-1,1. FC Köln
3257,3,1981-08-22,VfB Stuttgart,2-0,Eintracht Braunschweig
3258,3,1981-08-22,Hamburger SV,2-2,Borussia Dortmund
3259,3,1981-08-22,Eintracht Frankfurt,3-1,1. FC Nürnberg
3260,3,1981-08-22,Bayern München,3-1,Werder Bremen
3261,4,1981-08-25,1. FC Kaiserslautern,3-2,VfB Stuttgart
3262,4,1981-08-25,Eintracht Braunschweig,0-1,Bor. Mönchengladbach
3263,4,1981-08-25,Werder Bremen,0-0,Bayer 04 Leverkusen
3264,4,1981-08-26,Karlsruher SC,2-1,Arminia Bielefeld
3265,4,1981-08-26,1. FC Nürnberg,0-3,Hamburger SV
3266,4,1981-08-26,Fortuna Düsseldorf,1-2,Bayern München
3267,4,1981-08-26,SV Darmstadt 98,2-0,VfL Bochum
3268,4,1981-08-26,1. FC Köln,2-0,Eintracht Frankfurt
3269,4,1981-08-26,Borussia Dortmund,2-1,MSV Duisburg
3270,5,1981-09-05,Arminia Bielefeld,2-1,Eintracht Braunschweig
3271,5,1981-09-05,Bor. Mönchengladbach,2-2,1. FC Kaiserslautern
3272,5,1981-09-05,VfB Stuttgart,0-2,Borussia Dortmund
3273,5,1981-09-05,MSV Duisburg,3-2,1. FC Nürnberg
3274,5,1981-09-05,VfL Bochum,3-2,Eintracht Frankfurt
3275,5,1981-09-05,SV Darmstadt 98,1-1,Werder Bremen
3276,5,1981-09-05,Bayer 04 Leverkusen,1-1,Fortuna Düsseldorf
3277,5,1981-09-05,Hamburger SV,3-1,1. FC Köln
3278,5,1981-09-08,Bayern München,4-1,Karlsruher SC
3279,6,1981-09-11,Werder Bremen,3-1,VfL Bochum
3280,6,1981-09-11,1. FC Kaiserslautern,4-0,Arminia Bielefeld
3281,6,1981-09-11,1. FC Köln,3-0,MSV Duisburg
3282,6,1981-09-12,1. FC Nürnberg,0-0,VfB Stuttgart
3283,6,1981-09-12,Eintracht Braunschweig,3-1,Bayern München
3284,6,1981-09-12,Karlsruher SC,1-2,Bayer 04 Leverkusen
3285,6,1981-09-12,Fortuna Düsseldorf,2-2,SV Darmstadt 98
3286,6,1981-09-12,Eintracht Frankfurt,3-2,Hamburger SV
3287,6,1981-09-12,Borussia Dortmund,2-3,Bor. Mönchengladbach
3288,7,1981-09-18,Werder Bremen,4-1,Fortuna Düsseldorf
3289,7,1981-09-18,Bayer 04 Leverkusen,1-0,Eintracht Braunschweig
3290,7,1981-09-19,Bor. Mönchengladbach,4-2,1. FC Nürnberg
3291,7,1981-09-19,Arminia Bielefeld,1-1,Borussia Dortmund
3292,7,1981-09-19,Bayern München,4-2,1. FC Kaiserslautern
3293,7,1981-09-19,VfB Stuttgart,1-1,1. FC Köln
3294,7,1981-09-19,MSV Duisburg,4-2,Eintracht Frankfurt
3295,7,1981-09-19,SV Darmstadt 98,2-6,Karlsruher SC
3296,7,1981-09-19,VfL Bochum,2-1,Hamburger SV
3297,8,1981-09-25,1. FC Kaiserslautern,5-2,Bayer 04 Leverkusen
3298,8,1981-09-25,Karlsruher SC,3-0,Werder Bremen
3299,8,1981-09-26,Fortuna Düsseldorf,2-1,VfL Bochum
3300,8,1981-09-26,Eintracht Braunschweig,3-0,SV Darmstadt 98
3301,8,1981-09-26,1. FC Nürnberg,1-0,Arminia Bielefeld
3302,8,1981-09-26,Hamburger SV,7-0,MSV Duisburg
3303,8,1981-09-26,Eintracht Frankfurt,4-1,VfB Stuttgart
3304,8,1981-09-26,1. FC Köln,3-0,Bor. Mönchengladbach
3305,8,1981-09-26,Borussia Dortmund,2-0,Bayern München
3306,9,1981-10-02,Fortuna Düsseldorf,2-0,Karlsruher SC
3307,9,1981-10-02,VfL Bochum,2-2,MSV Duisburg
3308,9,1981-10-03,Bor. Mönchengladbach,1-0,Eintracht Frankfurt
3309,9,1981-10-03,Arminia Bielefeld,0-2,1. FC Köln
3310,9,1981-10-03,Bayern München,1-1,1. FC Nürnberg
3311,9,1981-10-03,VfB Stuttgart,1-2,Hamburger SV
3312,9,1981-10-03,Bayer 04 Leverkusen,2-1,Borussia Dortmund
3313,9,1981-10-03,SV Darmstadt 98,0-0,1. FC Kaiserslautern
3314,9,1981-10-03,Werder Bremen,2-0,Eintracht Braunschweig
3315,10,1981-10-16,Karlsruher SC,2-2,VfL Bochum
3316,10,1981-10-17,Eintracht Braunschweig,4-2,Fortuna Düsseldorf
3317,10,1981-10-17,1. FC Nürnberg,3-2,Bayer 04 Leverkusen
3318,10,1981-10-17,1. FC Kaiserslautern,1-1,Werder Bremen
3319,10,1981-10-17,MSV Duisburg,1-2,VfB Stuttgart
3320,10,1981-10-17,Hamburger SV,1-1,Bor. Mönchengladbach
3321,10,1981-10-17,Eintracht Frankfurt,2-1,Arminia Bielefeld
3322,10,1981-10-17,1. FC Köln,4-0,Bayern München
3323,10,1981-10-17,Borussia Dortmund,4-0,SV Darmstadt 98
3324,11,1981-10-23,Karlsruher SC,2-1,Eintracht Braunschweig
3325,11,1981-10-24,SV Darmstadt 98,2-1,1. FC Nürnberg
3326,11,1981-10-24,Arminia Bielefeld,1-1,Hamburger SV
3327,11,1981-10-24,Bor. Mönchengladbach,4-2,MSV Duisburg
3328,11,1981-10-24,Fortuna Düsseldorf,4-2,1. FC Kaiserslautern
3329,11,1981-10-24,Bayern München,3-2,Eintracht Frankfurt
3330,11,1981-10-24,Bayer 04 Leverkusen,1-1,1. FC Köln
3331,11,1981-10-24,VfL Bochum,3-3,VfB Stuttgart
3332,11,1981-10-24,Werder Bremen,2-0,Borussia Dortmund
3333,12,1981-10-30,Borussia Dortmund,4-2,Fortuna Düsseldorf
3334,12,1981-10-30,Eintracht Frankfurt,3-2,Bayer 04 Leverkusen
3335,12,1981-10-31,1. FC Nürnberg,2-1,Werder Bremen
3336,12,1981-10-31,1. FC Kaiserslautern,2-1,Karlsruher SC
3337,12,1981-10-31,Eintracht Braunschweig,2-1,VfL Bochum
3338,12,1981-10-31,VfB Stuttgart,2-2,Bor. Mönchengladbach
3339,12,1981-10-31,MSV Duisburg,1-3,Arminia Bielefeld
3340,12,1981-10-31,Hamburger SV,4-1,Bayern München
3341,12,1981-10-31,1. FC Köln,1-1,SV Darmstadt 98
3342,13,1981-11-07,SV Darmstadt 98,1-4,Eintracht Frankfurt
3343,13,1981-11-07,VfL Bochum,1-1,Bor. Mönchengladbach
3344,13,1981-11-07,Arminia Bielefeld,1-0,VfB Stuttgart
3345,13,1981-11-07,Eintracht Braunschweig,2-1,1. FC Kaiserslautern
3346,13,1981-11-07,Karlsruher SC,0-2,Borussia Dortmund
3347,13,1981-11-07,Fortuna Düsseldorf,1-1,1. FC Nürnberg
3348,13,1981-11-07,Werder Bremen,1-1,1. FC Köln
3349,13,1981-11-07,Bayer 04 Leverkusen,0-3,Hamburger SV
3350,13,1981-11-07,Bayern München,4-0,MSV Duisburg
3351,14,1981-11-13,1. FC Kaiserslautern,3-3,VfL Bochum
3352,14,1981-11-13,Bor. Mönchengladbach,3-1,Arminia Bielefeld
3353,14,1981-11-14,1. FC Nürnberg,3-1,Karlsruher SC
3354,14,1981-11-14,VfB Stuttgart,0-3,Bayern München
3355,14,1981-11-14,MSV Duisburg,2-1,Bayer 04 Leverkusen
3356,14,1981-11-14,Hamburger SV,6-1,SV Darmstadt 98
3357,14,1981-11-14,Eintracht Frankfurt,9-2,Werder Bremen
3358,14,1981-11-14,1. FC Köln,3-0,Fortuna Düsseldorf
3359,14,1981-11-14,Borussia Dortmund,1-2,Eintracht Braunschweig
3360,15,1981-11-28,SV Darmstadt 98,3-2,MSV Duisburg
3361,15,1981-11-28,Bayern München,1-1,Bor. Mönchengladbach
3362,15,1981-11-28,Eintracht Braunschweig,4-2,1. FC Nürnberg
3363,15,1981-11-28,Borussia Dortmund,2-2,1. FC Kaiserslautern
3364,15,1981-11-28,Fortuna Düsseldorf,2-2,Eintracht Frankfurt
3365,15,1981-11-28,Werder Bremen,3-2,Hamburger SV
3366,15,1981-11-28,Bayer 04 Leverkusen,0-0,VfB Stuttgart
3367,15,1981-11-28,Karlsruher SC,1-4,1. FC Köln
3368,16,1981-12-12,VfL Bochum,0-0,Borussia Dortmund
3369,16,1981-12-12,1. FC Nürnberg,4-2,1. FC Kaiserslautern
3370,16,1981-12-12,Arminia Bielefeld,1-2,Bayern München
3371,16,1981-12-12,1. FC Köln,3-0,Eintracht Braunschweig
3372,16,1981-12-12,Eintracht Frankfurt,4-1,Karlsruher SC
3373,16,1981-12-12,VfB Stuttgart,1-0,SV Darmstadt 98
3374,16,1981-12-15,MSV Duisburg,0-1,Werder Bremen
3375,17,1981-12-16,Eintracht Braunschweig,4-1,Eintracht Frankfurt
3376,17,1981-12-19,Werder Bremen,2-2,VfB Stuttgart
3377,17,1981-12-19,Borussia Dortmund,3-1,1. FC Nürnberg
3378,17,1981-12-19,Bayer 04 Leverkusen,2-2,Arminia Bielefeld
3379,17,1981-12-19,SV Darmstadt 98,1-1,Bor. Mönchengladbach
3380,17,1981-12-19,Fortuna Düsseldorf,2-0,MSV Duisburg
3381,17,1981-12-19,Bayern München,1-0,VfL Bochum
3382,16,1981-12-22,Bor. Mönchengladbach,3-1,Bayer 04 Leverkusen
3383,15,1982-01-12,Arminia Bielefeld,2-0,VfL Bochum
3384,18,1982-01-16,1. FC Nürnberg,2-1,VfL Bochum
3385,18,1982-01-16,Borussia Dortmund,1-0,1. FC Köln
3386,18,1982-01-16,Eintracht Braunschweig,2-1,Hamburger SV
3387,18,1982-01-16,Fortuna Düsseldorf,2-3,VfB Stuttgart
3388,18,1982-01-16,SV Darmstadt 98,1-0,Arminia Bielefeld
3389,18,1982-01-16,Werder Bremen,0-1,Bor. Mönchengladbach
3390,18,1982-01-16,Bayer 04 Leverkusen,0-2,Bayern München
3391,19,1982-01-23,Eintracht Frankfurt,1-4,Borussia Dortmund
3392,19,1982-01-23,Arminia Bielefeld,0-2,Werder Bremen
3393,19,1982-01-23,Bor. Mönchengladbach,3-0,Fortuna Düsseldorf
3394,19,1982-01-23,1. FC Köln,4-1,1. FC Nürnberg
3395,19,1982-01-23,Bayern München,4-1,SV Darmstadt 98
3396,20,1982-01-30,Fortuna Düsseldorf,4-1,Arminia Bielefeld
3397,20,1982-01-30,Karlsruher SC,1-1,Bor. Mönchengladbach
3398,20,1982-01-30,1. FC Kaiserslautern,3-0,MSV Duisburg
